"","zip","required_testing","not_required_testing","required_testing_tested","required_testing_not_tested","number_of_first_tests","first_test_pos_required","first_test_neg_required","first_test_pos_req_percent","latest_test_positive_required","latest_test_negative_required","latest_test_pos_required_percent","any_test_positive_all","any_test_positive_req","number_of_facilities_tested_all","number_of_facilities_tested_req","atp_percent_of_tested_all","atp_percent_of_tested_req","max_capacity_required","day_night_capacity_required","max_capacity_all","day_night_capacity_all","atp_max_capacity_req","ltp_max_capacity_req","ltp_percent_bucket","ltp_count_bucket","ftp_percent_bucket","ftp_count_bucket","atp_count_bucket","atp_percent_bucket","atp_mc_bucket","ltp_mc_bucket","should_bucket"
"230","60541",1,0,0,1,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,NA,8,8,8,8,0,0,NA,"0",NA,NA,"0",NA,"0","0","01 - 10"
"231","60542",4,3,1,3,1,0,1,0,0,1,0,0,0,0,0,NA,NA,187,192,672,679,0,0,"0%","0","0","0","0",NA,"0","0","01 - 10"
"232","60543",10,20,5,5,5,1,4,20,1,4,20,1,1,0,0,Inf,Inf,626,812,1576,1860,12,12,"15.01 - 20%","01 - 5","14 - 20%","01 - 5","01 - 5","More than 50%","005 - 15","005 - 15","01 - 10"
"233","60544",12,6,5,7,5,3,2,60,2,3,40,3,3,0,0,Inf,Inf,313,388,1017,1108,96,88,"Greater than 30%","01 - 5","More than 50%","01 - 5","01 - 5","More than 50%","051 - 100","051 - 100","01 - 10"
"234","60545",2,3,1,1,1,0,1,0,0,1,0,0,0,0,0,NA,NA,151,151,289,289,0,0,"0%","0","0","0","0",NA,"0","0","01 - 10"
"235","60546",5,1,3,2,4,1,3,25,0,3,0,1,1,0,0,Inf,Inf,138,153,294,309,7,0,"0%","0","21 - 30%","01 - 5","01 - 5","More than 50%","005 - 15","0","01 - 10"
"236","60548",3,0,2,1,2,1,1,50,1,1,50,1,1,0,0,Inf,Inf,122,141,122,141,7,7,"Greater than 30%","01 - 5","31 - 50%","01 - 5","01 - 5","More than 50%","005 - 15","005 - 15","01 - 10"
"237","60551",1,0,0,1,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,NA,42,42,42,42,0,0,NA,"0",NA,NA,"0",NA,"0","0","01 - 10"
"238","60552",1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,NA,NA,8,8,8,8,0,0,"0%","0","0","0","0",NA,"0","0","0"
"239","60554",1,3,1,0,1,0,1,0,0,1,0,0,0,0,0,NA,NA,8,8,52,52,0,0,"0%","0","0","0","0",NA,"0","0","0"
"240","60555",6,2,0,6,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,NA,406,406,937,990,0,0,NA,"0",NA,NA,"0",NA,"0","0","01 - 10"
"241","60556",2,0,2,0,2,1,1,50,1,1,50,1,1,0,0,Inf,Inf,27,27,27,27,19,19,"Greater than 30%","01 - 5","31 - 50%","01 - 5","01 - 5","More than 50%","016 - 29","016 - 30","0"
"242","60558",2,1,2,0,3,1,2,33.3333333333333,0,2,0,1,1,0,0,Inf,Inf,205,205,538,538,57,0,"0%","0","31 - 50%","01 - 5","01 - 5","More than 50%","051 - 100","0","0"
"243","60559",6,4,0,6,1,0,1,0,0,0,NA,0,0,0,0,NA,NA,316,316,923,923,0,0,NA,"0","0","0","0",NA,"0","0","01 - 10"
